,programme,preferred,4 Core + Best 2 Elective Subjects,Any Best 5 Subjects,Any Best 6 Subjects,Chinese & English Languages + Any Best 3 Subjects,English Language,Mathematics,Chinese Language,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry,Physics,Information and Communication Technology,,Business, Accounting and Ficial Studies, Accounting and Ficial Studies (Accounting), Accounting and Ficial Studies (Business Management),Economics,Liberal Studies,Design and Applied Technology,Visual Arts,Film and Video / Film and Video Studies,Image Design,Innovative Product Design,Interior Design,Multimedia Entertainment Studies
29,JS3349,"Chinese Language,English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry",0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,JS3533,"English Language,Mathematics",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,JS3296,English Language,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,JS3117,"English Language,Mathematics,Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry,Information and Communication Technology",0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,JS3674,"English Language,Mathematics",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,JS3519,"English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry,Information and Communication Technology",0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,JS3363,"Chinese Language,English Language,Mathematics,Mathematics (Extended part - Calculus and Statistics),Mathematics (Extended part - Algebra and Calculus),Biology,Chemistry,Physics,Business, Accounting and Financial Studies,Business, Accounting and Financial Studies (Accounting),Business, Accounting and Financial Studies (Business Management),Combined Science: Biology + Chemistry,Combined Science: Biology + Physics,Combined Science: Physics + Chemistry",0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
36,JS3105,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,JS3387,"English Language,Mathematics",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,JS3480,"Chinese Language,English Language",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,JS3571,"English Language,Mathematics",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,JS3583,"English Language,Mathematics",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,JS3894,"English Language,Mathematics",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
